u,v,dist,weight,tw_feasible,tw_slack
0,2,20.8806130178211,0.3520328968146514,True,300.11938698217887
0,3,16.278820596099706,0.44310831749562724,True,1064.7211794039004
0,4,22.20360331117452,0.3294995912491933,True,396.79639668882544
0,5,18.439088914585774,0.3977409178940928,True,1112.5609110854143
0,6,22.0,0.33287108369807955,True,503.0
0,7,16.1245154965971,0.4465402331752072,True,959.875484503403
0,8,20.024984394500787,0.36742016584472004,True,870.9750156054993
0,10,16.1245154965971,0.4465402331752072,True,772.875484503403
0,11,19.1049731745428,0.3847164695506311,True,678.8950268254572
0,20,6.082762530298219,0.7377589553390945,True,1129.9172374697018
1,2,2.0,0.9048374180359595,True,50.0
1,3,6.708203932499369,0.7150447172574466,True,55.0
1,4,3.0,0.8607079764250578,True,55.0
1,5,4.47213595499958,0.7996294886770354,True,55.0
1,6,6.0,0.7408182206817179,True,55.0
1,7,7.211102550927978,0.6972891342043374,True,55.0
1,8,5.385164807134504,0.763945948498702,True,55.0
1,9,4.47213595499958,0.7996294886770354,True,55.0
1,10,10.0,0.6065306597126334,True,55.0
1,11,8.54400374531753,0.6523329504061428,True,55.0
2,3,5.0,0.7788007830714049,True,45.0
2,4,3.605551275463989,0.8350384028320718,True,45.0
2,5,2.8284271247461903,0.8681234453945849,True,45.0
2,6,6.324555320336759,0.7288934141100245,True,45.0
2,7,5.656854249492381,0.7536383164437648,True,45.0
2,8,5.0,0.7788007830714049,True,45.0
2,9,5.656854249492381,0.7536383164437648,True,45.0
2,10,8.94427190999916,0.6394073191618971,True,45.0
2,11,8.06225774829855,0.6682366595564831,True,45.0
2,20,22.47220505424423,0.3251039659061073,True,45.0
3,4,6.0,0.7408182206817179,True,55.0
3,5,2.23606797749979,0.8942200448866238,True,38.763932022500214
3,6,6.708203932499369,0.7150447172574466,True,81.0
3,7,1.0,0.951229424500714,True,55.0
3,8,4.47213595499958,0.7996294886770354,True,69.0
3,9,8.06225774829855,0.6682366595564831,True,71.0
3,10,5.0,0.7788007830714049,True,53.0
3,11,5.830951894845301,0.7471064544176195,True,57.0
3,20,17.4928556845359,0.4170109559667996,True,28.507144315464103
4,5,4.123105625617661,0.8137067130515866,True,55.0
4,6,3.0,0.8607079764250578,True,55.0
